CDK_group,PhosphoELM,"('O75553', 'P00520', 'P00523', 'P02542', 'P02545', 'P03372', 'P04177', 'P04637', 'P06400', 'P62136', 'P08153', 'P08928', 'P10636', 'P48678', 'P12931', 'P13681', 'P67870', 'P15172', 'P16949', 'P17599', 'P17600', 'P68400', 'P20152', 'P20338', 'P20700', 'P23913', 'P49418', 'P49768', 'P54227', 'Q02750', 'Q05193', 'Q08999', 'Q13153', 'Q62736', 'Q9UD71', 'P52732', 'Q12879', 'P48681', 'Q00536', 'P18031', 'P12957', 'P61763', 'Q9UM11', 'Q9ESJ1', 'P11157', 'ENSP00000357225')"
CDPK,PhosphoELM,"('P08995',)"
CHK1,PhosphoELM,"('O15350', 'P04637', 'P30304', 'P30305', 'P33991', 'P79923', 'Q9UKI8')"
CHK2,PhosphoELM,"('O96017', 'P04637', 'P30304', 'P30307', 'P38398', 'Q01094', 'P79923', 'Q98TW0')"
CK1_alpha,PhosphoELM,"('P07910', 'P17931', 'P27348', 'P63104', 'Q12778', 'P37840', 'P02730', 'P56817', 'Q9Y2W7', 'O60260', 'P70444')"
CK1_delta,PhosphoELM,"('P12830', 'P56817', 'P08050', 'P49810', 'P23804')"
CK1_epsilon,PhosphoELM,"('P25054', 'P49674', 'O15055', 'O35973')"
CK1_group,PhosphoELM,"('P02662', 'P02663', 'P02666', 'P04637', 'P11845', 'P25054', 'P27348', 'P29361', 'P35222', 'P38486', 'P49674', 'Q12968', 'P13834', 'Q00535', 'P49810', 'P55957', 'Q05940', 'P10361')"
CK2_alpha,PhosphoELM,"('P00736', 'P05412', 'P05455', 'P06401', 'P06493', 'P07900', 'P08238', 'P11388', 'P11473', 'P11831', 'P25963', 'P30305', 'P31749', 'P32121', 'P42768', 'P45984', 'P49427', 'Q04206', 'Q13547', 'Q16543', 'Q61337', 'Q92769', 'Q9UNN5', 'P11274', 'P06127', 'P12259', 'P04004', 'P37840', 'Q07205', 'P04198', 'P61244', 'P60484', 'O95477', 'P08575', 'P10242', 'P35638', 'P49810', 'Q00613', 'Q02078', 'Q16666', 'Q9UBF6', 'P09651', 'Q15287', 'O76061', 'Q08945', 'Q61699', 'P60983', 'Q15185', 'P55010', 'Q96SB4', 'P19447', 'Q13563', 'P10646', 'P11717', 'Q712K3', 'Q13323', 'P18887', 'P15884', 'P48426', 'Q04724', 'P70444', 'P06800', 'P17433', 'P49443', 'P63058', 'Q02067', 'Q60864', 'Q8CFN5', 'Q9Z1E3', 'P09803')"
CK2_beta,PhosphoELM,"('P67870', 'Q96SB4')"
CK2_group,PhosphoELM,"('P00515', 'P00736', 'P00860', 'P01103', 'P02316', 'P62158', 'P02612', 'P02662', 'P02663', 'P02666', 'P03129', 'P04625', 'P04975', 'P05412', 'P05455', 'P06401', 'P06493', 'P06786', 'P06836', 'P07260', 'P07516', 'P07900', 'P07910', 'P08047', 'P08238', 'P11388', 'P11473', 'P11497', 'P11845', 'P12262', 'P12637', 'P12830', 'P12962', 'P67870', 'P14164', 'P14598', 'P17936', 'P18146', 'P18846', 'P18858', 'P19836', 'P25963', 'P27695', 'P27824', 'P30305', 'P07221', 'P32121', 'P34826', 'P35222', 'P35568', 'P41035', 'P49427', 'P53999', 'P55042', 'Q01827', 'Q03017', 'Q03135', 'Q04206', 'Q06413', 'Q13547', 'Q16543', 'Q92769', 'Q9UNN5', 'P32004', 'P06127', 'P12259', 'Q13351', 'P56270', 'P25788', 'P04004', 'Q07205', 'P35570', 'P04198', 'P06744', 'P60984', 'P61244', 'P17096', 'P60484', 'O43896', 'Q62881', 'O75379', 'P01375', 'P06454', 'P08575', 'P09629', 'P10242', 'P11836', 'P13349', 'P21673', 'P22314', 'P35638', 'P41236', 'P61218', 'P49795', 'P49810', 'P51811', 'P52655', 'P55087', 'P55957', 'Q00613', 'Q01892', 'Q05940', 'Q12972', 'Q13085', 'P62161', 'Q15906', 'Q16623', 'Q16625', 'Q16666', 'Q6VY07', 'Q9NQB0', 'Q9UBF6', 'Q9UNN4', 'Q9Y237', 'Q9Y5B0', 'P51946', 'Q64350', 'P39687', 'Q60864', 'P01252', 'ENSP00000347528')"
CK_group_Caeel,PhosphoELM,"('Y62E10A.8', 'Y73F8A.1')"
CLK1,PhosphoELM,"('P18031',)"
CSF1R,PhosphoELM,"('P07333', 'P09581')"
CaM-KII_alpha,PhosphoELM,"('P00533', 'P04626', 'P07101', 'P08670', 'P14921', 'P29475', 'P47712', 'Q9UQM7', 'P09917', 'P23677', 'Q00613', 'Q01970', 'Q92736', 'Q96A00', 'P35367', 'P51790', 'P12979', 'P22723', 'P50571', 'Q00560', 'P61014')"
CaM-KII_delta,PhosphoELM,"('P61014',)"
CaM-KII_group,PhosphoELM,"('P02687', 'P04177', 'P07101', 'P61013', 'P08413', 'P09951', 'P10522', 'P11275', 'P11497', 'P11716', 'P11799', 'P16220', 'P16386', 'P16615', 'P17289', 'P17599', 'P17676', 'P19490', 'P20152', 'P21333', 'P30957', 'P48452', 'Q00960', 'Q15121', 'Q9Y281', 'Q12959', 'O60266', 'P05783', 'P09417', 'P14136', 'P33535', 'P42261', 'Q00613', 'Q01970', 'Q15906', 'O35274', 'Q9NZV8')"
